harvest,post,slope_pct,wall_width_m,wall_high_outside_m,wall_high_m,wall_two_outside_m,wall_width,wall_ht_highest_inside,wall_ht_outside_highest_ft,wall_ht_outside_two_ft,built,year,month,elapsed
gas_line,237,-15,6.096,3.81,2.8956,2.8956,20,9.5,12.5,9.5,2017_06,2017,7,1
gas_line,237,-11.864406779661017,8.9916,3.2004,2.1336,2.5908,29.5,7,10.5,8.5,2017_06,2018,10,16
gas_line,237,-10.714285714285714,8.5344,2.8956,1.9812,2.286,28,6.5,9.5,7.5,2017_06,2019,11,29
gas_line,237,-12.195121951219512,6.2484,2.286,1.524,1.524,20.5,5,7.5,5,2017_06,2020,10,40
gas_line,238,-10.101010101010102,5.0292,4.0132,3.5052000000000003,1.7272,16.5,11.5,13.166666666666666,5.666666666666667,2017_06,2017,7,1
gas_line,238,-2.7777777777777777,5.486400000000001,2.7432000000000003,2.5908,1.9812,18,8.5,9,6.5,2017_06,2018,10,16
gas_line,238,-15.151515151515152,5.0292,2.7432000000000003,1.9812,1.6764000000000001,16.5,6.5,9,5.5,2017_06,2019,11,29
gas_line,238,-12.121212121212121,5.0292,1.9812,1.3716000000000002,1.524,16.5,4.5,6.5,5,2017_06,2020,10,40
gas_line,239,-14.414414414414413,5.638800000000001,2.4892,1.6764000000000001,1.7271999999999998,18.5,5.5,8.166666666666666,5.666666666666666,2017_06,2017,7,1
gas_line,239,-11.320754716981131,8.077200000000001,3.3528000000000002,2.4384,2.286,26.5,8,11,7.5,2017_06,2018,10,16
gas_line,239,-11.11111111111111,6.8580000000000005,2.286,1.524,1.524,22.5,5,7.5,5,2017_06,2019,11,29
gas_line,239,-11.363636363636363,6.7056000000000004,2.1336,1.3716000000000002,1.524,22,4.5,7,5,2017_06,2020,10,40
gas_line,240,-11.904761904761907,8.5344,4.6736,3.6576000000000004,2.6924,28,12,15.333333333333334,8.833333333333334,2017_06,2017,7,1
gas_line,240,-14.814814814814815,8.2296,4.2672,3.048,2.8956,27,10,14,9.5,2017_06,2018,10,16
gas_line,240,-11.363636363636363,6.7056000000000004,3.5052000000000003,2.7432000000000003,2.286,22,9,11.5,7.5,2017_06,2019,11,29
gas_line,240,-14.583333333333334,7.315200000000001,3.2004,2.1336,2.286,24,7,10.5,7.5,2017_06,2020,10,40
gas_line,241,-29.07801418439716,7.162800000000001,4.064,1.9812,3.6068,23.5,6.5,13.333333333333332,11.833333333333332,2017_06,2017,7,1
gas_line,241,-31.372549019607842,7.7724,3.9624,1.524,3.6576000000000004,25.5,5,13,12,2017_06,2018,10,16
gas_line,241,-28.571428571428573,6.4008,3.6576000000000004,1.8288000000000002,2.8956,21,6,12,9.5,2017_06,2019,11,29
gas_line,241,-30.952380952380953,6.4008,3.5052000000000003,1.524,2.4384,21,5,11.5,8,2017_06,2020,10,40
gas_line,242,-31.25,4.8768,3.5052000000000003,1.9812,3.048,16,6.5,11.5,10,2017_06,2017,7,1
gas_line,242,-30,6.096,3.5052000000000003,1.6764000000000001,3.3528000000000002,20,5.5,11.5,11,2017_06,2018,10,16
gas_line,242,-29.032258064516128,4.7244,3.048,1.6764000000000001,2.7432000000000003,15.5,5.5,10,9,2017_06,2019,11,29
gas_line,242,-25.714285714285715,5.3340000000000005,2.5908,1.2192,2.5908,17.5,4,8.5,8.5,2017_06,2020,10,40
gas_line,243,-18.51851851851852,6.8580000000000005,3.8608000000000007,2.5908,2.3368,22.5,8.5,12.666666666666668,7.666666666666667,2017_06,2017,7,1
gas_line,243,-6.521739130434782,7.010400000000001,2.4384,1.9812,1.3716000000000002,23,6.5,8,4.5,2017_06,2018,10,16
gas_line,243,-23.91304347826087,7.010400000000001,3.2004,1.524,2.1336,23,5,10.5,7,2017_06,2019,11,29
gas_line,243,-23.404255319148938,7.162800000000001,3.56616,1.88976,2.1336,23.5,6.2,11.7,7,2017_06,2020,10,40
gas_line,244,-19.06432748538012,8.6868,3.63728,1.9812,2.87528,28.5,6.5,11.933333333333334,9.433333333333334,2017_06,2017,7,1
gas_line,244,-14.722222222222225,10.972800000000001,5.73024,4.1148,3.2918400000000005,36,13.5,18.8,10.8,2017_06,2018,10,16
gas_line,244,-22.22222222222222,6.8580000000000005,4.4196,2.8956,2.5908,22.5,9.5,14.5,8.5,2017_06,2019,11,29
gas_line,244,-19.672131147540984,9.2964,4.7244,2.8956,2.5908,30.5,9.5,15.5,8.5,2017_06,2020,10,40
gas_line,245,-13.194444444444443,7.315200000000001,4.1656,3.2004,3.0987999999999998,24,10.5,13.666666666666666,10.166666666666666,2017_06,2017,7,1
gas_line,245,-18,7.62,3.3528000000000002,1.9812,3.3528000000000002,25,6.5,11,11,2017_06,2018,10,16
gas_line,245,-12.195121951219512,6.2484,3.3528000000000002,2.5908,2.7432000000000003,20.5,8.5,11,9,2017_06,2019,11,29
gas_line,245,-12.5,6.096,3.2004,2.4384,2.1336,20,8,10.5,7,2017_06,2020,10,40
gas_line,246,-21.21212121212121,5.0292,4.572,3.5052000000000003,3.6576000000000004,16.5,11.5,15,12,2017_06,2017,7,1
gas_line,246,-38.888888888888886,2.7432000000000003,3.3528000000000002,2.286,3.3528000000000002,9,7.5,11,11,2017_06,2018,10,16
gas_line,246,-18.91891891891892,5.638800000000001,2.4384,1.3716000000000002,2.4384,18.5,4.5,8,8,2017_06,2019,11,29
gas_line,246,-14,7.62,2.5908,1.524,2.5908,25,5,8.5,8.5,2017_06,2020,10,40
gas_line,247,-42.08333333333333,6.096,5.308599999999999,2.7432000000000003,4.3942,20,9,17.416666666666664,14.416666666666666,2017_06,2017,7,1
gas_line,247,-34.31372549019608,7.7724,4.4958,1.8288000000000002,4.038600000000001,25.5,6,14.75,13.25,2017_06,2018,10,16
gas_line,247,-39.53488372093023,6.5532,3.9624,1.3716000000000002,3.6576000000000004,21.5,4.5,13,12,2017_06,2019,11,29
gas_line,247,-34.78260869565217,7.010400000000001,3.5052000000000003,1.0668,3.5052000000000003,23,3.5,11.5,11.5,2017_06,2020,10,40
gas_line,248,-45.37037037037037,5.486400000000001,5.232399999999999,2.7432000000000003,3.2512,18,9,17.166666666666664,10.666666666666666,2017_06,2017,7,1
gas_line,248,-48.484848484848484,5.0292,4.2672,1.8288000000000002,3.2004,16.5,6,14,10.5,2017_06,2018,10,16
gas_line,248,-48.484848484848484,5.0292,5.3340000000000005,2.8956,2.5908,16.5,9.5,17.5,8.5,2017_06,2019,11,29
gas_line,248,-51.515151515151516,5.0292,3.9624,1.3716000000000002,2.5908,16.5,4.5,13,8.5,2017_06,2020,10,40
gas_line,249,-31.25,7.315200000000001,4.4196,2.1336,3.5052000000000003,24,7,14.5,11.5,2017_06,2017,7,1
gas_line,249,-60.714285714285715,4.2672,4.7244,2.1336,3.6576000000000004,14,7,15.5,12,2017_06,2018,10,16
gas_line,249,-36.8421052631579,5.7912,2.4384,0.3048,2.4384,19,1,8,8,2017_06,2019,11,29
gas_line,249,-36.8421052631579,5.7912,2.4384,0.3048,1.8288000000000002,19,1,8,6,2017_06,2020,10,40
gas_line,250,-11.403508771929824,5.7912,3.2512,2.5908,2.1844,19,8.5,10.666666666666666,7.166666666666666,2017_06,2017,7,1
gas_line,250,-22.580645161290324,4.7244,2.7432000000000003,1.6764000000000001,2.286,15.5,5.5,9,7.5,2017_06,2018,10,16
gas_line,250,-8.108108108108109,5.638800000000001,2.1336,1.6764000000000001,1.6764000000000001,18.5,5.5,7,5.5,2017_06,2019,11,29
gas_line,250,-8.333333333333334,5.486400000000001,1.9812,1.524,1.3716000000000002,18,5,6.5,4.5,2017_06,2020,10,40
gas_line,251,7.407407407407407,9.6012,2.4892,3.2004,1.5748,31.5,10.5,8.166666666666666,5.166666666666666,2017_06,2017,7,1
gas_line,251,4.761904761904762,9.6012,2.7432000000000003,3.2004,1.8288000000000002,31.5,10.5,9,6,2017_06,2018,10,16
gas_line,251,10.526315789473685,8.6868,1.6764000000000001,2.5908,0.762,28.5,8.5,5.5,2.5,2017_06,2019,11,29
gas_line,251,8.928571428571429,8.5344,1.6764000000000001,2.4384,1.0668,28,8,5.5,3.5,2017_06,2020,10,40
gas_line,252,-5.22875816993464,7.7724,4.5212,4.1148,2.2352,25.5,13.5,14.833333333333334,7.333333333333333,2017_06,2017,7,1
